,<TICKER>,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<RETURN>,<LOG_CLOSE>,<LOG_RETURN>
5731275,LLY.US,1982-08-13,2.10668,2.12075,2.08548,2.1302931761021164,2442900.4428768,1.0194279597627733,0.7562596116121265,0.019241646213724664
5731276,LLY.US,1982-08-16,2.14917,2.17067,2.12075,2.154162324804036,5307618.1492109,1.0112046308788323,0.7674019355995491,0.011142323987422452
5731277,LLY.US,1982-08-17,2.17742,2.20605,2.13491,2.2154328514398713,6530195.4253692,1.0284428549930233,0.7954478026627168,0.02804586706316773
5731278,LLY.US,1982-08-18,2.17742,2.25587,2.08548,2.1244322178571173,6956517.8793459,0.9589242194708767,0.7535045750776952,-0.041943227585021614
5731279,LLY.US,1982-08-19,2.10668,2.12075,2.08548,2.1053213922126313,5036937.2580971,0.9910042667006044,0.744468135865929,-0.009036439211766247
5731280,LLY.US,1982-08-20,2.06388,2.10668,2.01455,2.1090398395810377,7721194.9803016,1.0017662136442258,0.7462327915889809,0.0017646557230519549
5731281,LLY.US,1982-08-23,2.14215,2.19169,2.09242,2.201210437767485,5634690.1355498,1.0437026349415748,0.7890074080455246,0.042774616456543776
5731282,LLY.US,1982-08-24,2.19169,2.21299,2.16346,2.207744226115994,10534034.857557,1.0029682706552743,0.7919712820835422,0.0029638740380174633
5731283,LLY.US,1982-08-25,2.22021,2.25587,2.17742,2.236303497283281,4603842.3812669,1.0129359510170843,0.8048242783196694,0.012852996236127229
5731284,LLY.US,1982-08-26,2.29134,2.3479,2.22725,2.3075034982415428,6191842.797297,1.0318382549795935,0.8361662034247255,0.031341925105056095
5731285,LLY.US,1982-08-27,2.27668,2.29818,2.26291,2.2772118767270606,5206111.5532265,0.9868725566233957,0.822951833577,-0.013214369847725456
5731286,LLY.US,1982-08-30,2.27668,2.29818,2.25587,2.3006842076113783,3207574.5154724,1.0103074865910384,0.8332065602663995,0.01025472668939941
5731287,LLY.US,1982-08-31,2.29134,2.31938,2.26291,2.2985547058021516,5871533.1392776,0.9990744049956176,0.8322805366344502,-0.0009260236319492208
5731288,LLY.US,1982-09-01,2.23438,2.28421,2.17742,2.187917955889551,7076071.4831966,0.9518668189043644,0.7829503865484442,-0.049330150086006004
5731289,LLY.US,1982-09-02,2.16346,2.19169,2.13491,2.181023700688158,5925674.1628765,0.9968489425378886,0.7797943540509374,-0.0031560324975067372
5731290,LLY.US,1982-09-03,2.24855,2.27668,2.22021,2.2717264935221078,9963342.3973699,1.041587256848851,0.8205401122401742,0.04074575818923675
5731291,LLY.US,1982-09-07,2.27668,2.29818,2.24855,2.302762816303669,5438449.3664346,1.013661997987021,0.8341096265220797,0.01356951428190537
5731292,LLY.US,1982-09-08,2.3052,2.3266,2.28421,2.3071917347349147,5269271.0334916,1.0019233063865234,0.8360310857229649,0.0019214592008852329
5731293,LLY.US,1982-09-09,2.3266,2.34048,2.3052,2.328045465777459,3221113.304459,1.0090385773876485,0.8450290596516193,0.008997973928654333
5731294,LLY.US,1982-09-10,2.29818,2.31938,2.27668,2.32164246941019,4612870.9324671,0.9972496257219226,0.8422748961447474,-0.0027541635068719207
5731295,LLY.US,1982-09-13,2.3479,2.39733,2.29134,2.3753255562681996,5233179.0366658,1.023122891472453,0.8651345044159563,0.022859608271208885
5731296,LLY.US,1982-09-14,2.41893,2.44706,2.38357,2.435950081421171,4398576.0893117,1.0255226173073373,0.8903368576102523,0.025202353194295958
5731297,LLY.US,1982-09-15,2.41893,2.44706,2.39733,2.43703114548958,3356451.7311091,1.000443795657659,0.8907805548197446,0.0004436972094923534
5731298,LLY.US,1982-09-16,2.48253,2.52503,2.4327,2.4973235932149667,4867761.9535144,1.0247401219459074,0.9152195956985585,0.02443904087881383
5731299,LLY.US,1982-09-17,2.48957,2.5183,2.4542,2.49827841038375,11404723.745016,1.0003823361823745,0.9156018588090795,0.00038226311052106017
5731300,LLY.US,1982-09-20,2.48957,2.49661,2.4754,2.49777207261322,6658766.4764328,0.9997973253227401,0.9153991635905316,-0.0002026952185477871
